id_lista,categoria,classe,geometria,nome_geografico,lat,long,uf
194,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agrofel,-14.4508,-58.2943,MT
195,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agromar,-13668,-56.4817,MT
196,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agronova,-16.1203,-52.4844,MT
197,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agropecuária Nossa Senhora Aparecida,-17.1246,-45.6049,MG
198,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agropesp,-12.4415,-56.9079,MT
199,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agroplan,-11.6658,-52.8596,MT
200,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Agrovás,-11.5132,-52.4112,MT
201,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água Boa,-5.96202,-47.3929,MA
202,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água das Pedras,-22.6557,-48.1477,SP
203,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água Doce,-14.0509,-45.5936,BA
204,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água Fria,-21.0305,-50.9261,SP
205,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água Fria,-12.4031,-50.0639,TO
206,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água Limpa,-13.4092,-54.7492,MT
207,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água Limpa,-9.98048,-67.4914,AC
208,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Água Preta,-14.1375,-51.4697,MT
209,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Albatroz Ii,-12.1701,-45.8133,BA
210,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Aldeia,-18.2131,-55.1569,MS
211,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Alto do Piquiri,-17.8376,-54.7688,MS
212,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Alvorada,-10.3921,-48.6788,TO
213,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Alvorada I,-10.7063,-52.6545,MT
214,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Amália,-11.8824,-58.6342,MT
215,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Amália,-21.4439,-47.3708,SP
216,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Amonguijá,-21.6898,-57475,MS
217,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Amparo,-17.7826,-53.4558,MT
218,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Anahí,-21.7016,-57.7404,MS
219,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Andorinha I,-7.54802,-49.2089,TO
220,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Anhanguera,-14.6428,-59.4487,MT
221,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Annalu,-22.0819,-54.2016,MS
222,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Aparecida,-21.4979,-50094,SP
223,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Araçatuba,-15.1905,-57.7062,MT
224,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Araçatuba,-22.0938,-52.6754,MS
225,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Araguari,-13.3445,-53.9584,MT
226,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Arapucel,-15.0473,-58.7291,MT
227,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Araras,-19.6304,-55.2563,MS
228,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Araras,-13.9078,-60.3208,MT
229,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Araruna,-17.5833,-54.6414,MS
230,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Arataú,-4.15071,-50.1637,PA
231,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Arco-Íris,-16.9346,-53.5735,MT
232,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Arrossensal,-14.3533,-56.7139,MT
233,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Aruanã,-13.0813,-51.5889,MT
234,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Aurora,-12.7104,-46157,BA
235,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Aurora Iii,-21.4558,-53.3569,MS
236,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Baessa,-17.9747,-50.3179,GO
237,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bahia,-16.9271,-54.0709,MT
238,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Baía das Conchas,-21.1955,-57.6392,MS
239,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Baluarte,-17.0148,-44.7929,MG
240,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bandeirantes,-13.7059,-50.6499,GO
241,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Banguaçu - Miragem,-21.4549,-57.1465,MS
242,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Barra do Agudo,-20.8105,-48.2226,SP
243,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Barra Dourada,-21.9941,-54.2455,MS
244,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Barra Mansa,-14.0451,-60.1544,MT
245,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Barra Nova,-21.3196,-54.7345,MS
246,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Barro Preto,-19819,-57.2053,MS
247,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Baunilha,-23.5619,-54.0304,MS
248,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Beira Rio,-10.9086,-55.8633,MT
249,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Beira Rio,-18.7212,-53.3424,MS
250,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bela Manhã,-20.0175,-50.8934,SP
251,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bela Vista,-19.0462,-48973,MG
252,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bela Vista,-10.0539,-56.9913,MT
253,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bela Vista do Caronal,-18.2061,-55.9715,MS
254,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Belluno,-27.8245,-49.2367,SC
255,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Boa Esperança,-21.2514,-52.2849,MS
256,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Boa Esperança,-12.8924,-56.3634,MT
257,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Boa Fortuna,-10005,-49.4916,TO
258,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Boa Sorte,-17.2101,-46615,MG
259,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Boa Sorte,-11.3036,-48.6794,TO
260,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Boca da Mata,-9.4317,-49.5914,TO
